
LENOVO-YOGA-7-1

"Computer Name:","LENOVO-YOGA-7-1"
"Computer Brand Name:","LENOVO 83DJ"
"Operating System:","Microsoft Windows 11 Home Single Language (x64) Build 26200.9168 (25H2)"
"UEFI Boot:","Present"
"Secure Boot:","Enabled"
"Hypervisor-protected Code Integrity (HVCI):","Enabled"
"Current User Name:","Saket Sontakke"
"Virtual Machine Warning:","Microsoft Hyper-V is active. Some results may not reflect real hardware !"

Central Processor(s)

"Number Of Processor Packages (Physical):","1"
"Number Of Processor Cores:","14"
"Number Of Logical Processors:","18"

Intel Core Ultra 5 125H

"Processor Name:","Intel Core Ultra 5 125H"
"Original Processor Frequency:","3000.0 MHz"
"Original Processor Frequency [MHz]:","3000"
"CPU ID:","000A06A4"
"CPU Brand Name:","Intel(R) Core(TM) Ultra 5 125H"
"CPU Vendor:","GenuineIntel"
"CPU Stepping:","C0"
"CPU Code Name:","Meteor Lake-H"
"CPU Technology:","Intel 4"
"CPU S-Spec:","SRMZ4"
"CPU Thermal Design Power (TDP):","28.0 W"
"CPU VR Thermal Design Current (TDC):","61.0 A"
"CPU Power Limits (Max):","Power = Unlimited, Time = 256.00 sec"
"CPU Power Limit 1 (Long Duration)/Processor Base Power (PBP):"," (15.00 W) (28.00 sec) [Unlocked]"
"CPU Power Limit 2 (Short Duration)/Maximum Turbo Power (MTP):"," (38.00 W) (2.44 ms) [Unlocked]"
"CPU Power Limit 4 (PL4):","120.0 W"
"Configurable TDP Level 1 (Down):","20.00 W (Unlimited range), 1000 MHz"
"Configurable TDP Level 2 (Up):","65.00 W (Unlimited range), 3000 MHz"
"Current Configurable TDP Level:","Nominal (Legacy) [Unlocked]"
"CPU Max. Junction Temperature (Tj,max):","110 °C"
"CPU Type:","Production Unit"
"CPU Platform:","BGA2049"
"Microcode Update Revision:","2A"
"Number of CPU Cores:","4 x Performance, 8 x Efficient, 2 x Low Power Efficient"
"Number of Logical CPUs:","8 x Performance, 8 x Efficient, 2 x Low Power Efficient"
"CPU MFM (Low Power):","400.0 MHz = 4 x 100.0 MHz"
"CPU LFM (Minimum):","400.0 MHz = 4 x 100.0 MHz"
"CPU HFM (Base):","3000.0 MHz = 30 x 100.0 MHz"
"CPU Turbo Max:","4500.0 MHz = 45 x 100.0 MHz [Unlocked]"
"Turbo Ratio Limits (P-cores):","45x (1-2c), 43x (3-8c)"
"Turbo Ratio Limits (E-cores):","36x (1-4c), 31x (5-6c), 28x (7-8c)"
"CPU Current:","1596.2 MHz = 16 x 99.8 MHz @ 0.6475 V"
"LLC/Ring Maximum:","3100.0 MHz = 31.00 x 100.0 MHz"
"LLC/Ring Current:","1596.2 MHz = 16.00 x 99.8 MHz @ 0.6831 V"
"PCI-Express Current Clock:","99.8 MHz = 1.00 x 99.8 MHz"
"L1 Cache (P-cores):","Instruction: 4 x 64 KBytes, Data: 4 x 48 KBytes"
"L1 Cache (E-cores):","Instruction: 8 x 64 KBytes, Data: 8 x 32 KBytes"
"L1 Cache (E-cores (LP)):","Instruction: 2 x 64 KBytes, Data: 2 x 32 KBytes"
"L2 Cache (P-cores):","Integrated: 4 x 2 MBytes"
"L2 Cache (E-cores):","Integrated: 2 x 2 MBytes"
"L2 Cache (E-cores (LP)):","Integrated: 2 MBytes"
"L3 Cache:","18 MBytes"
"FPU on Chip","Present"
"Enhanced Virtual-86 Mode","Present"
"I/O Breakpoints","Present"
"Page Size Extensions","Present"
"Time Stamp Counter","Present"
"Pentium-style Model Specific Registers","Present"
"Physical Address Extension","Present"
"Machine Check Exception","Present"
"CMPXCHG8B Instruction","Present"
"APIC On Chip / PGE (AMD)","Present"
"Fast System Call","Present"
"Memory Type Range Registers","Present"
"Page Global Feature","Present"
"Machine Check Architecture","Present"
"CMOV Instruction","Present"
"Page Attribute Table","Present"
"36-bit Page Size Extensions","Present"
"Processor Number","Not Present"
"CLFLUSH Instruction","Present"
"Debug Trace and EMON Store","Not Present"
"Internal ACPI Support","Present"
"MMX Technology","Present"
"Fast FP Save/Restore (IA MMX-2)","Present"
"Streaming SIMD Extensions","Present"
"Streaming SIMD Extensions 2","Present"
"Self-Snoop","Present"
"Multi-Threading Capable","Present"
"Automatic Clock Control","Present"
"IA-64 Processor","Not Present"
"Signal Break on FERR","Present"
"Virtual Machine Extensions (VMX)","Not Present"
